"p_eurefvote","p_gross_household","p_sexuality","age","al_scaleW14","lr_scaleW14","antiIntellectual","immigSelf","euPriorityBalance","ukCitizen","euCitizen","likeFarage","likeJohnson","likeCorbyn","likeMay","immig_att","eth_wBrit","eth_other","relig_coe","relig_other"
1,5,"Heterosexual",68,8,3,5,0,9,1,0,7,5,0,8,11,1,0,1,0
0,7,"Heterosexual",32,4,2.5,2,8,2,1,1,0,0,5,0,0,1,0,NA,1
1,7,"Heterosexual",60,7,4,4,0,10,1,0,10,5,0,5,12,1,0,1,0
0,11,"Heterosexual",64,3.5,4,2,5,3,1,0,0,1,3,6,2,1,0,1,0
1,5,"Heterosexual",60,8,0,5,0,10,1,0,2,10,5,0,12,1,0,0,1
1,3,"Heterosexual",52,10,0,5,0,8,1,0,8,10,5,5,9,1,0,1,0
1,5,"Heterosexual",50,8,4.5,5,2,8,1,0,5,2,0,0,7,1,0,0,1
1,13,"Heterosexual",67,9,2.5,NA,3,10,1,0,10,9,0,6,2,1,0,0,1
1,3,"Heterosexual",68,7.5,2.5,4,4,5,1,0,4,5,4,8,7,1,0,0,1
0,3,"Heterosexual",50,6,2.5,2,0,9,1,1,3,6,2,7,7,1,0,1,0
0,8,"Heterosexual",40,6.5,2.5,3,7,7,1,0,0,5,0,5,0,1,0,0,1
1,7,"Heterosexual",64,6.5,4,4,2,8,1,0,7,7,1,5,6,1,0,0,1
0,12,"Heterosexual",57,3.5,2.5,1,5,0,1,1,0,0,8,0,0,1,0,1,0
0,6,"Heterosexual",68,9,5.5,5,3,9,1,0,0,10,1,10,3,1,0,0,1
0,6,"Heterosexual",50,5,2.5,3,6,2,1,0,0,0,7,0,0,1,0,1,0
0,14,"Heterosexual",59,4.5,4.5,1,6,2,NA,0,0,0,4,0,2,1,0,1,0
0,8,"Heterosexual",77,9,0.5,3,7,2,1,0,2,2,7,1,4,1,0,0,1
1,5,"Heterosexual",63,8.5,4,3,2,7,1,0,7,6,1,8,8,1,0,0,1
1,3,"Heterosexual",72,7.5,5,3,0,10,1,0,7,4,0,NA,8,1,0,1,0
0,11,"Heterosexual",45,5.5,0,4,7,2,1,0,0,2,7,0,2,1,0,1,0
1,3,"Heterosexual",72,8.5,2,5,0,9,1,0,8,5,5,5,12,1,0,0,1
0,4,"Heterosexual",73,6.5,7.5,2,5,2,1,0,1,6,0,5,4,1,0,0,1
0,11,"Heterosexual",46,4.5,6,2,7,3,1,0,0,5,0,5,4,1,0,1,0
0,7,"Heterosexual",41,5,5,3,5,8,1,0,5,5,2,6,6,1,0,1,0
1,9,"Heterosexual",41,5.5,3.5,3,3,7,1,0,6,5,5,5,8,1,0,0,1
1,11,"Heterosexual",42,5.5,7,3,3,7,1,0,5,7,0,7,7,1,0,1,0
1,8,"Heterosexual",69,6.5,2,4,0,9,1,0,8,5,5,0,12,1,0,1,0
0,11,"Heterosexual",45,3.5,2.5,5,6,9,1,0,0,1,1,3,3,1,0,0,1
1,11,"Heterosexual",47,7,1.5,3,4,1,1,0,1,0,7,3,2,1,0,1,0
0,11,"Heterosexual",35,5.5,8.5,1,7,0,1,0,0,3,0,6,1,1,0,1,0
1,7,"Heterosexual",38,5,4.5,2,2,8,1,0,4,4,3,3,10,1,0,1,0
0,13,"Heterosexual",43,3,2.5,1,8,0,1,0,0,0,7,1,0,1,0,1,0
1,10,"Heterosexual",55,NA,6,3,6,6,1,0,4,4,3,4,4,1,0,1,0
0,9,"Heterosexual",72,4,2,3,7,2,1,0,2,4,6,3,1,1,0,1,0
1,8,"Heterosexual",48,3.5,1.5,1,3,2,1,0,1,4,4,4,5,1,0,1,0
0,7,"Heterosexual",39,8,2,3,3,6,1,0,2,5,5,3,7,1,0,1,0
0,12,"Heterosexual",39,2.5,2.5,1,7,0,1,0,0,0,2,0,0,1,0,1,0
0,7,"Other",44,1,NA,2,8,0,1,0,0,0,3,0,0,0,1,1,0
1,5,"Heterosexual",72,6.5,4.5,4,5,5,1,0,1,5,0,6,4,1,0,0,1
0,13,"Heterosexual",35,3.5,3.5,2,5,0,1,1,0,2,4,0,0,1,0,1,0
1,7,"Heterosexual",72,5,3.5,4,6,5,1,0,7,7,0,6,5,1,0,0,1
1,8,"Heterosexual",45,8,3.5,5,0,10,1,0,1,4,3,5,12,1,0,1,0
0,5,"Heterosexual",68,6,5,2,5,2,1,0,2,0,0,6,0,1,0,0,1
1,11,"Heterosexual",41,8,3.5,4,3,8,1,0,7,7,1,5,4,1,0,1,0
0,3,"Heterosexual",63,1.5,0.5,2,5,3,1,0,4,5,4,1,0,1,0,1,0
0,6,"Heterosexual",75,6,8,3,4,7,1,0,1,1,0,7,5,1,0,0,1
1,3,"Heterosexual",72,8,2.5,3,0,10,1,0,1,1,1,1,4,1,0,0,1
1,4,"Heterosexual",43,5,5,5,1,9,1,0,7,7,3,7,2,1,0,0,1
0,11,"Heterosexual",63,7,2.5,3,6,1,1,0,0,0,1,1,2,1,0,1,0
1,2,"Heterosexual",73,7.5,2.5,3,5,8,1,0,8,8,0,5,4,1,0,0,1
1,12,"Heterosexual",62,7.5,5.5,2,2,9,1,0,9,9,0,2,8,1,0,0,1
0,12,"Heterosexual",32,6,2.5,2,5,2,1,0,0,0,4,3,2,1,0,1,0
0,12,"Heterosexual",57,4.5,3.5,5,8,0,1,0,0,4,6,3,0,1,0,1,0
0,9,"Heterosexual",44,5.5,4.5,2,5,3,1,0,0,0,0,2,4,1,0,0,1
1,10,"Heterosexual",60,9,3.5,4,2,8,1,0,4,4,0,2,10,1,0,0,1
0,10,"Heterosexual",48,7,3.5,3,5,3,1,0,0,6,9,7,2,1,0,0,1
0,9,"Heterosexual",41,4.5,5,3,6,5,1,0,3,4,5,3,4,1,0,0,1
1,6,"Heterosexual",38,8.5,1,4,6,3,1,0,0,6,3,0,4,1,0,1,0
0,3,"Heterosexual",60,5,NA,1,8,0,1,0,2,0,2,8,2,1,0,0,1
0,4,"Heterosexual",34,4.5,2.5,1,8,0,1,0,0,0,4,1,0,0,1,1,0
0,7,"Heterosexual",65,6.5,0.5,2,5,1,1,0,0,1,7,2,4,1,0,1,0
0,12,"Heterosexual",42,7.5,4.5,2,6,2,1,0,1,7,4,6,3,1,0,1,0
1,2,"Heterosexual",46,8,1,4,5,4,1,0,8,8,0,9,1,1,0,0,1
1,3,"Heterosexual",63,8,7,3,2,6,1,0,7,7,1,8,8,1,0,0,1
1,5,"Heterosexual",67,10,4,4,0,10,1,0,4,3,0,9,12,1,0,1,0
1,3,"Heterosexual",61,7.5,1.5,4,0,10,1,0,0,4,5,0,10,1,0,1,0
0,10,"Bisexual",29,4.5,2,2,7,0,1,0,0,3,7,3,2,1,0,0,1
1,4,"Heterosexual",75,7.5,2,2,5,1,1,0,0,0,0,0,3,1,0,1,0
0,7,"Heterosexual",61,7,5.5,2,4,2,1,0,3,6,0,8,4,1,0,0,1
0,2,"Heterosexual",61,2.5,0,2,5,0,1,1,0,0,5,1,2,1,0,1,0
0,4,"Heterosexual",48,7.5,2,4,5,8,1,0,0,0,0,5,7,1,0,1,0
1,5,"Heterosexual",66,7.5,3.5,3,4,10,1,0,6,6,0,7,7,1,0,1,0
0,7,"Heterosexual",66,6.5,3.5,5,4,2,1,0,6,7,1,6,4,1,0,0,1
1,6,"Heterosexual",63,5,5.5,4,1,8,1,0,5,6,6,6,8,1,0,1,0
1,5,"Heterosexual",62,9.5,1.5,5,0,10,1,0,0,5,1,5,5,1,0,0,1
0,11,"Heterosexual",62,NA,4,1,6,0,1,0,0,0,0,4,2,0,1,0,1
1,6,"Heterosexual",60,7.5,2,4,1,5,1,0,4,6,5,5,7,1,0,1,0
0,10,"Heterosexual",57,8,4.5,2,4,2,1,0,0,0,0,0,9,1,0,1,0
1,5,"Heterosexual",55,10,3.5,NA,0,7,1,0,2,5,0,8,7,1,0,0,1
0,13,"Heterosexual",47,6,2,2,5,0,1,0,1,3,0,5,0,1,0,1,0
1,13,"Heterosexual",46,6,7.5,2,7,3,1,0,0,4,1,3,1,1,0,1,0
0,7,"Heterosexual",42,3,0.5,1,5,0,1,0,0,0,4,2,2,1,0,1,0
0,12,"Heterosexual",22,6,3.5,1,10,0,1,0,0,2,7,6,0,1,0,1,0
0,4,"Heterosexual",63,7,2.5,2,8,0,1,0,0,2,8,4,0,1,0,1,0
1,13,"Bisexual",32,7,2.5,3,5,5,1,0,5,5,5,5,4,1,0,1,0
0,7,"Heterosexual",63,4.5,0,3,6,0,1,0,0,0,5,0,0,1,0,1,0
1,4,"Heterosexual",63,9,4.5,2,0,10,1,0,9,5,0,6,8,1,0,1,0
0,9,"Heterosexual",69,NA,6.5,2,5,2,1,0,1,3,2,7,3,1,0,1,0
0,7,"Heterosexual",49,5.5,3,2,5,3,1,0,1,3,6,6,3,1,0,1,0
0,12,"Heterosexual",41,6,1.5,2,4,0,1,0,2,3,2,8,3,1,0,0,1
1,6,"Heterosexual",41,6,3.5,2,4,4,1,0,1,4,0,4,4,1,0,1,0
1,4,"Heterosexual",60,5,4,3,0,8,1,0,8,7,1,2,8,1,0,0,1
1,6,"Heterosexual",62,9.5,4.5,NA,1,10,1,0,10,10,0,10,6,1,0,1,0
1,5,"Homosexual",58,7,4,2,4,7,1,0,0,6,0,4,7,1,0,1,0
1,6,"Heterosexual",51,NA,3,4,4,6,1,0,1,5,0,7,6,1,0,1,0
1,3,NA,71,7.5,2.5,4,4,7,1,0,9,7,0,3,8,1,0,1,0
0,11,"Heterosexual",41,4,0.5,1,8,3,1,0,1,2,7,5,2,1,0,1,0
0,7,"Heterosexual",82,8,2.5,3,4,0,1,0,9,3,10,10,0,1,0,0,1
1,3,"Heterosexual",73,9.5,6.5,4,0,10,1,0,9,10,2,5,5,1,0,0,1
1,7,"Heterosexual",49,9.5,1.5,4,0,9,1,0,9,8,0,8,11,1,0,0,1
1,3,"Heterosexual",67,9.5,1,3,0,10,1,0,4,8,6,0,8,1,0,1,0
0,11,"Heterosexual",61,8.5,3,3,5,1,1,0,2,6,0,8,7,1,0,1,0
0,10,"Heterosexual",44,2.5,0.5,3,7,0,1,1,0,0,3,0,0,1,0,1,0
0,11,"Heterosexual",34,5,5,2,4,3,1,0,3,5,0,2,4,1,0,1,0
1,13,"Heterosexual",62,7.5,0,4,0,5,1,0,8,10,0,0,11,1,0,1,0
1,1,"Heterosexual",46,8,2.5,4,2,7,1,0,4,6,5,0,10,1,0,0,1
0,10,"Heterosexual",61,4,3.5,3,6,0,1,0,0,0,2,0,1,1,0,1,0
NA,6,"Heterosexual",74,5,6,4,5,5,1,0,7,10,0,10,4,1,0,0,1
1,10,"Heterosexual",56,6,0,3,5,6,1,0,0,1,8,4,6,1,0,1,0
1,4,"Heterosexual",65,9,0.5,4,0,10,1,0,9,8,0,5,11,1,0,1,0
1,4,"Heterosexual",69,6.5,4,4,4,4,1,0,7,8,0,6,7,1,0,NA,1
1,6,"Heterosexual",70,7,3.5,4,0,9,1,0,5,3,1,3,9,1,0,1,0
1,3,"Heterosexual",61,7,1,3,2,10,1,0,7,5,8,8,6,1,0,0,1
1,7,"Heterosexual",78,9.5,5.5,3,5,5,1,0,8,4,0,10,5,1,0,0,1
1,3,"Heterosexual",60,8.5,3,2,0,10,1,0,10,5,4,0,10,1,0,1,0
1,3,"Heterosexual",66,10,0.5,4,0,10,1,0,9,3,0,7,9,1,0,0,1
0,11,"Heterosexual",23,4.5,3,3,5,2,1,0,0,0,4,4,3,1,0,0,1
0,8,"Heterosexual",72,7.5,3,4,3,2,1,0,3,5,0,10,8,1,0,0,1
1,11,"Heterosexual",69,8,5,5,1,10,1,0,10,10,0,0,12,1,0,0,1
1,4,"Heterosexual",78,8,2,4,4,8,1,0,5,5,0,9,5,1,0,0,1
